Users	用户
Account	账户
username	用户名
Password	密码
Updates	更新
Upgrade	升级
Pool	池	存储池
Upload	上传
Save	保存
Enable	启用
Close	关闭
Check	检查
Cancel	取消
Block size	块大小
Memory	内存
CPU	处理器
Address	地址	ip 地址
Interface	接口
Log	日志
Link Aggregation	链路聚合
Mount point	挂载点
Nameserver	域名服务器
Network	网络
Hostname	域名
IP address	IP地址
Options	选项
Path	路径
Log in	登录
Mirror	镜像
Error	错误
Guest	访客
lagg	链路聚合	忘记哪里找到的了
Dataset	数据集
Warning	警告
Passphrase	密码
Proceed	继续
Service	服务
Legacy User Interface	经典用户界面
Port	端口
Tasks	任务
Groups	群组
Disk	磁盘
...	…
selected	选中的
Certificate	证书
Failed	失败
Netmask	子网掩码
Private Key	私钥
Snapshots	快照
Command	命令
detach	分离
disconnect	断开
export	导出
Cloud Sync	云同步
alphanumeric	字母数字
authorize	批准
Estimated	估计
Encryption Salt	加密盐
backends	后端
Authentication	鉴定
Adapter	适配器
inherit	继承
parameters	参数
valid	有效的
threshold	阈值
Passphrase	密钥
hard disk	硬盘
Authentication	验证
account username	用户名
account username	账户用户名
Optional	可选
define	定义
remove	移除
Block	块
Method	方式
VM	虚拟机
Token	令牌
Active Directory	活动目录
stripe	条带
Plain	明文
scrubs	磁盘数据校验
Scrub	校验
Cron Job	计划任务
passphrase	口令
passphrase	口令
passphrase	密码短语
recovery key	恢复密钥
size	大小
paravirtualized	半虚拟化
Authentication	认证
Size	容量
tunable	可调
existing	现有
